layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
15,5074,0.0,0.0,51.5,50.588235294117645,62.2,0.5,1.17647058823529,-1.3999999999999986,2000,85,500
11,10017,0.0,0.0,51.1,42.35294117647059,62.6,0.10000000000000142,-7.058823529411768,-1.0,2000,85,500
12,3718,0.0,0.0,51.5,47.05882352941176,62.6,0.5,-2.352941176470594,-1.0,2000,85,500
10,11456,0.0,0.0,50.8,52.94117647058824,63.800000000000004,-0.20000000000000284,3.529411764705884,0.20000000000000284,2000,85,500
11,2419,0.0,0.0,50.349999999999994,49.411764705882355,63.0,-0.6500000000000057,0.0,-0.6000000000000014,2000,85,500
25,9486,0.0,0.0,51.800000000000004,47.05882352941176,62.2,0.8000000000000043,-2.352941176470594,-1.3999999999999986,2000,85,500
10,14718,0.0,0.0,50.7,49.411764705882355,61.4,-0.29999999999999716,0.0,-2.200000000000003,2000,85,500
12,14681,0.0,0.0,51.349999999999994,52.94117647058824,64.0,0.3499999999999943,3.529411764705884,0.3999999999999986,2000,85,500
13,13021,0.0,0.0,51.2,57.647058823529406,62.4,0.20000000000000284,8.23529411764705,-1.2000000000000028,2000,85,500
25,12814,0.0,0.0,50.949999999999996,47.05882352941176,63.0,-0.05000000000000426,-2.352941176470594,-0.6000000000000014,2000,85,500
12,8624,0.0,0.0,50.9,44.70588235294118,62.0,-0.10000000000000142,-4.705882352941174,-1.6000000000000014,2000,85,500
0,2011,0.0,0.0,50.2,41.17647058823529,56.2,-0.7999999999999972,-8.235294117647065,-7.399999999999999,2000,85,500
13,9163,0.0,0.0,51.849999999999994,49.411764705882355,62.8,0.8499999999999943,0.0,-0.8000000000000043,2000,85,500
10,2187,0.0,0.0,51.300000000000004,54.11764705882353,64.60000000000001,0.30000000000000426,4.705882352941174,1.000000000000007,2000,85,500
12,4302,0.0,0.0,50.5,50.588235294117645,62.2,-0.5,1.17647058823529,-1.3999999999999986,2000,85,500
6,6482,0.0,0.0,50.849999999999994,44.70588235294118,62.8,-0.15000000000000568,-4.705882352941174,-0.8000000000000043,2000,85,500
9,13638,0.0,0.0,51.6,54.11764705882353,64.0,0.6000000000000014,4.705882352941174,0.3999999999999986,2000,85,500
23,2377,0.0,0.0,52.55,57.647058823529406,65.60000000000001,1.5499999999999972,8.23529411764705,2.000000000000007,2000,85,500
13,5190,0.0,0.0,50.8,51.76470588235295,63.2,-0.20000000000000284,2.352941176470594,-0.3999999999999986,2000,85,500
4,12355,0.0,0.0,50.64999999999999,54.11764705882353,63.0,-0.3500000000000085,4.705882352941174,-0.6000000000000014,2000,85,500
11,5881,0.0,0.0,50.9,48.23529411764706,62.0,-0.10000000000000142,-1.176470588235297,-1.6000000000000014,2000,85,500
22,460,0.0,0.0,50.449999999999996,47.05882352941176,61.199999999999996,-0.5500000000000043,-2.352941176470594,-2.4000000000000057,2000,85,500
24,10462,0.0,0.0,52.800000000000004,62.35294117647059,63.6,1.8000000000000043,12.941176470588232,0.0,2000,85,500
11,415,0.0,0.0,51.1,45.88235294117647,62.0,0.10000000000000142,-3.529411764705884,-1.6000000000000014,2000,85,500
25,7964,0.0,0.0,51.2,47.05882352941176,63.6,0.20000000000000284,-2.352941176470594,0.0,2000,85,500
2,12714,0.0,0.0,50.349999999999994,40.0,57.4,-0.6500000000000057,-9.411764705882355,-6.200000000000003,2000,85,500
12,13125,0.0,0.0,51.55,45.88235294117647,60.199999999999996,0.5499999999999972,-3.529411764705884,-3.4000000000000057,2000,85,500
25,4885,0.0,0.0,50.7,44.70588235294118,61.4,-0.29999999999999716,-4.705882352941174,-2.200000000000003,2000,85,500
10,719,0.0,0.0,51.0,47.05882352941176,63.2,0.0,-2.352941176470594,-0.3999999999999986,2000,85,500
18,7200,0.0,0.0,51.5,47.05882352941176,62.2,0.5,-2.352941176470594,-1.3999999999999986,2000,85,500
8,4658,0.0,0.0,51.05,47.05882352941176,64.60000000000001,0.04999999999999716,-2.352941176470594,1.000000000000007,2000,85,500
25,9319,0.0,0.0,51.2,45.88235294117647,63.6,0.20000000000000284,-3.529411764705884,0.0,2000,85,500
