layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj,fire_fraction
25,7022,16021,1323088,261893,2701355,8.758667962445074,0.0,0.0969487534959307,0.0121087939728876,0.084839959523043,0.0,0.085
10,10009,24205,1323088,202639,2701355,4.351821581612653,0.0,0.0750138356491464,0.0182943235824072,0.0567195120667392,0.0,0.189
25,14757,23193,1323088,191386,2701355,4.273592940971397,0.0,0.0708481484292142,0.017529446265101,0.0533187021641132,0.0,0.218
9,15031,58454,1323088,352720,2701355,3.249115692928174,0.0,0.1305715094832038,0.0441799789583157,0.0863915305248881,0.0,0.111
25,1941,45195,1323088,272257,2701355,3.169115873556597,0.0,0.1007853466130886,0.0341587256478782,0.0666266209652103,0.0,0.296
25,12814,41033,1323088,244694,2701355,3.1120851809987102,0.0,0.0905819486887136,0.0310130543093127,0.0595688943794008,0.0,0.2
