layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
13,11972,0.0,0.0,51.800000000000004,45.88235294117647,61.6,0.8000000000000043,-3.529411764705884,-2.0,2000,85,500
23,4515,0.0,0.0,51.74999999999999,54.11764705882353,63.4,0.7499999999999929,4.705882352941174,-0.20000000000000284,2000,85,500
14,1620,0.0,0.0,50.849999999999994,55.294117647058826,63.4,-0.15000000000000568,5.882352941176471,-0.20000000000000284,2000,85,500
11,9639,0.0,0.0,50.349999999999994,49.411764705882355,62.8,-0.6500000000000057,0.0,-0.8000000000000043,2000,85,500
9,5038,0.0,0.0,51.65,47.05882352941176,63.6,0.6499999999999986,-2.352941176470594,0.0,2000,85,500
13,35,0.0,0.0,50.9,51.76470588235295,61.4,-0.10000000000000142,2.352941176470594,-2.200000000000003,2000,85,500
18,8306,0.0,0.0,50.64999999999999,55.294117647058826,63.4,-0.3500000000000085,5.882352941176471,-0.20000000000000284,2000,85,500
25,12335,0.0,0.0,50.9,47.05882352941176,63.2,-0.10000000000000142,-2.352941176470594,-0.3999999999999986,2000,85,500
11,13988,0.0,0.0,51.5,51.76470588235295,63.800000000000004,0.5,2.352941176470594,0.20000000000000284,2000,85,500
18,2118,0.0,0.0,50.2,55.294117647058826,64.8,-0.7999999999999972,5.882352941176471,1.1999999999999957,2000,85,500
25,14491,0.0,0.0,50.7,51.76470588235295,64.0,-0.29999999999999716,2.352941176470594,0.3999999999999986,2000,85,500
24,13212,0.0,0.0,51.24999999999999,49.411764705882355,63.2,0.2499999999999929,0.0,-0.3999999999999986,2000,85,500
10,3902,0.0,0.0,51.849999999999994,55.294117647058826,64.4,0.8499999999999943,5.882352941176471,0.8000000000000043,2000,85,500
12,9409,0.0,0.0,51.05,49.411764705882355,63.800000000000004,0.04999999999999716,0.0,0.20000000000000284,2000,85,500
9,2197,0.0,0.0,51.55,47.05882352941176,62.6,0.5499999999999972,-2.352941176470594,-1.0,2000,85,500
7,10881,0.0,0.0,50.2,45.88235294117647,62.6,-0.7999999999999972,-3.529411764705884,-1.0,2000,85,500
9,1012,0.0,0.0,51.800000000000004,54.11764705882353,63.0,0.8000000000000043,4.705882352941174,-0.6000000000000014,2000,85,500
23,7372,0.0,0.0,50.4,44.70588235294118,59.4,-0.6000000000000014,-4.705882352941174,-4.200000000000003,2000,85,500
10,12422,0.0,0.0,51.449999999999996,47.05882352941176,64.4,0.44999999999999574,-2.352941176470594,0.8000000000000043,2000,85,500
24,3316,0.0,0.0,51.349999999999994,50.588235294117645,63.4,0.3499999999999943,1.17647058823529,-0.20000000000000284,2000,85,500
12,16244,0.0,0.0,51.6,50.588235294117645,62.2,0.6000000000000014,1.17647058823529,-1.3999999999999986,2000,85,500
25,3361,0.0,0.0,51.1,51.76470588235295,63.2,0.10000000000000142,2.352941176470594,-0.3999999999999986,2000,85,500
15,8901,0.0,0.0,51.24999999999999,48.23529411764706,63.2,0.2499999999999929,-1.176470588235297,-0.3999999999999986,2000,85,500
9,13857,0.0,0.0,50.55,41.17647058823529,62.2,-0.45000000000000284,-8.235294117647065,-1.3999999999999986,2000,85,500
18,14513,0.0,0.0,50.2,61.1764705882353,50.8,-0.7999999999999972,11.764705882352942,-12.800000000000004,2000,85,500
7,9579,0.0,0.0,50.849999999999994,44.70588235294118,62.2,-0.15000000000000568,-4.705882352941174,-1.3999999999999986,2000,85,500
2,6927,0.0,0.0,51.0,48.23529411764706,61.6,0.0,-1.176470588235297,-2.0,2000,85,500
13,3383,0.0,0.0,50.9,45.88235294117647,63.0,-0.10000000000000142,-3.529411764705884,-0.6000000000000014,2000,85,500
25,15680,0.0,0.0,51.0,51.76470588235295,64.0,0.0,2.352941176470594,0.3999999999999986,2000,85,500
12,2053,0.0,0.0,51.1,47.05882352941176,63.0,0.10000000000000142,-2.352941176470594,-0.6000000000000014,2000,85,500
25,13802,0.0,0.0,51.5,50.588235294117645,63.6,0.5,1.17647058823529,0.0,2000,85,500
10,2571,0.0,0.0,50.8,44.70588235294118,62.8,-0.20000000000000284,-4.705882352941174,-0.8000000000000043,2000,85,500
