layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
9,9885,0.0,0.0,50.9,43.529411764705884,62.6,-0.10000000000000142,-5.882352941176471,-1.0,2000,85,500
9,2395,0.0,0.0,50.8,44.70588235294118,62.8,-0.20000000000000284,-4.705882352941174,-0.8000000000000043,2000,85,500
10,8056,0.0,0.0,50.4,56.470588235294116,63.4,-0.6000000000000014,7.058823529411761,-0.20000000000000284,2000,85,500
17,15749,0.0,0.0,50.7,54.11764705882353,63.4,-0.29999999999999716,4.705882352941174,-0.20000000000000284,2000,85,500
9,15439,0.0,0.0,50.9,52.94117647058824,65.2,-0.10000000000000142,3.529411764705884,1.6000000000000014,2000,85,500
7,15872,0.0,0.0,50.949999999999996,43.529411764705884,63.6,-0.05000000000000426,-5.882352941176471,0.0,2000,85,500
25,7389,0.0,0.0,51.349999999999994,50.588235294117645,62.8,0.3499999999999943,1.17647058823529,-0.8000000000000043,2000,85,500
10,3590,0.0,0.0,50.8,49.411764705882355,65.2,-0.20000000000000284,0.0,1.6000000000000014,2000,85,500
9,15031,0.0,0.0,50.6,50.588235294117645,64.0,-0.3999999999999986,1.17647058823529,0.3999999999999986,2000,85,500
0,7810,0.0,0.0,52.75,61.1764705882353,64.2,1.75,11.764705882352942,0.6000000000000014,2000,85,500
8,7882,0.0,0.0,51.0,52.94117647058824,63.800000000000004,0.0,3.529411764705884,0.20000000000000284,2000,85,500
9,12544,0.0,0.0,50.2,50.588235294117645,63.0,-0.7999999999999972,1.17647058823529,-0.6000000000000014,2000,85,500
11,15710,0.0,0.0,50.9,56.470588235294116,63.0,-0.10000000000000142,7.058823529411761,-0.6000000000000014,2000,85,500
22,915,0.0,0.0,50.5,44.70588235294118,64.8,-0.5,-4.705882352941174,1.1999999999999957,2000,85,500
10,2887,0.0,0.0,51.15,55.294117647058826,64.4,0.14999999999999858,5.882352941176471,0.8000000000000043,2000,85,500
10,14911,0.0,0.0,52.25,56.470588235294116,64.60000000000001,1.25,7.058823529411761,1.000000000000007,2000,85,500
25,7509,0.0,0.0,50.7,48.23529411764706,60.8,-0.29999999999999716,-1.176470588235297,-2.8000000000000043,2000,85,500
21,5722,0.0,0.0,50.2,52.94117647058824,63.800000000000004,-0.7999999999999972,3.529411764705884,0.20000000000000284,2000,85,500
9,5197,0.0,0.0,50.949999999999996,50.588235294117645,64.0,-0.05000000000000426,1.17647058823529,0.3999999999999986,2000,85,500
9,11592,0.0,0.0,51.0,45.88235294117647,62.0,0.0,-3.529411764705884,-1.6000000000000014,2000,85,500
25,13777,0.0,0.0,52.25,47.05882352941176,62.0,1.25,-2.352941176470594,-1.6000000000000014,2000,85,500
10,3359,0.0,0.0,51.449999999999996,54.11764705882353,63.2,0.44999999999999574,4.705882352941174,-0.3999999999999986,2000,85,500
25,3765,0.0,0.0,51.15,50.588235294117645,63.0,0.14999999999999858,1.17647058823529,-0.6000000000000014,2000,85,500
10,6970,0.0,0.0,51.7,54.11764705882353,66.2,0.7000000000000028,4.705882352941174,2.6000000000000014,2000,85,500
25,9695,0.0,0.0,51.9,49.411764705882355,62.2,0.8999999999999986,0.0,-1.3999999999999986,2000,85,500
11,1743,0.0,0.0,51.1,43.529411764705884,61.199999999999996,0.10000000000000142,-5.882352941176471,-2.4000000000000057,2000,85,500
11,6227,0.0,0.0,51.349999999999994,43.529411764705884,60.6,0.3499999999999943,-5.882352941176471,-3.0,2000,85,500
9,2712,0.0,0.0,51.349999999999994,51.76470588235295,62.8,0.3499999999999943,2.352941176470594,-0.8000000000000043,2000,85,500
9,212,0.0,0.0,50.64999999999999,48.23529411764706,63.4,-0.3500000000000085,-1.176470588235297,-0.20000000000000284,2000,85,500
8,862,0.0,0.0,50.6,43.529411764705884,61.4,-0.3999999999999986,-5.882352941176471,-2.200000000000003,2000,85,500
2,14028,0.0,0.0,50.5,49.411764705882355,61.6,-0.5,0.0,-2.0,2000,85,500
24,8824,0.0,0.0,51.449999999999996,51.76470588235295,63.4,0.44999999999999574,2.352941176470594,-0.20000000000000284,2000,85,500
0,4439,0.0,0.0,51.24999999999999,48.23529411764706,62.4,0.2499999999999929,-1.176470588235297,-1.2000000000000028,2000,85,500
