layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
10,11465,0.0,0.0,51.05,44.70588235294118,62.8,0.04999999999999716,-4.705882352941174,-0.8000000000000043,2000,85,500
13,3210,0.0,0.0,50.949999999999996,51.76470588235295,62.8,-0.05000000000000426,2.352941176470594,-0.8000000000000043,2000,85,500
7,9793,0.0,0.0,51.349999999999994,47.05882352941176,61.4,0.3499999999999943,-2.352941176470594,-2.200000000000003,2000,85,500
10,10009,0.0,0.0,51.05,43.529411764705884,60.8,0.04999999999999716,-5.882352941176471,-2.8000000000000043,2000,85,500
12,8561,0.0,0.0,50.8,49.411764705882355,63.800000000000004,-0.20000000000000284,0.0,0.20000000000000284,2000,85,500
9,11245,0.0,0.0,51.1,51.76470588235295,64.2,0.10000000000000142,2.352941176470594,0.6000000000000014,2000,85,500
25,8716,0.0,0.0,51.849999999999994,55.294117647058826,62.8,0.8499999999999943,5.882352941176471,-0.8000000000000043,2000,85,500
24,2088,0.0,0.0,51.15,47.05882352941176,62.2,0.14999999999999858,-2.352941176470594,-1.3999999999999986,2000,85,500
25,1941,0.0,0.0,50.349999999999994,43.529411764705884,62.2,-0.6500000000000057,-5.882352941176471,-1.3999999999999986,2000,85,500
9,2677,0.0,0.0,50.949999999999996,55.294117647058826,63.4,-0.05000000000000426,5.882352941176471,-0.20000000000000284,2000,85,500
24,16247,0.0,0.0,51.2,52.94117647058824,62.4,0.20000000000000284,3.529411764705884,-1.2000000000000028,2000,85,500
12,13232,0.0,0.0,51.7,48.23529411764706,62.0,0.7000000000000028,-1.176470588235297,-1.6000000000000014,2000,85,500
8,5387,0.0,0.0,51.2,51.76470588235295,62.6,0.20000000000000284,2.352941176470594,-1.0,2000,85,500
6,5354,0.0,0.0,51.24999999999999,49.411764705882355,63.2,0.2499999999999929,0.0,-0.3999999999999986,2000,85,500
24,10790,0.0,0.0,50.74999999999999,49.411764705882355,64.0,-0.2500000000000071,0.0,0.3999999999999986,2000,85,500
10,12628,0.0,0.0,51.4,47.05882352941176,63.2,0.3999999999999986,-2.352941176470594,-0.3999999999999986,2000,85,500
12,4770,0.0,0.0,50.64999999999999,54.11764705882353,64.4,-0.3500000000000085,4.705882352941174,0.8000000000000043,2000,85,500
10,2640,0.0,0.0,50.949999999999996,56.470588235294116,65.0,-0.05000000000000426,7.058823529411761,1.3999999999999986,2000,85,500
25,7621,0.0,0.0,50.7,48.23529411764706,64.0,-0.29999999999999716,-1.176470588235297,0.3999999999999986,2000,85,500
12,2602,0.0,0.0,51.55,49.411764705882355,62.8,0.5499999999999972,0.0,-0.8000000000000043,2000,85,500
14,971,0.0,0.0,51.55,49.411764705882355,64.0,0.5499999999999972,0.0,0.3999999999999986,2000,85,500
25,5024,0.0,0.0,50.5,43.529411764705884,61.4,-0.5,-5.882352941176471,-2.200000000000003,2000,85,500
21,5499,0.0,0.0,52.0,55.294117647058826,65.0,1.0,5.882352941176471,1.3999999999999986,2000,85,500
9,10742,0.0,0.0,50.949999999999996,45.88235294117647,62.0,-0.05000000000000426,-3.529411764705884,-1.6000000000000014,2000,85,500
7,377,0.0,0.0,50.949999999999996,45.88235294117647,63.0,-0.05000000000000426,-3.529411764705884,-0.6000000000000014,2000,85,500
12,5283,0.0,0.0,51.1,50.588235294117645,64.60000000000001,0.10000000000000142,1.17647058823529,1.000000000000007,2000,85,500
12,14107,0.0,0.0,51.0,49.411764705882355,63.6,0.0,0.0,0.0,2000,85,500
0,11393,0.0,0.0,49.85,42.35294117647059,62.6,-1.1499999999999986,-7.058823529411768,-1.0,2000,85,500
10,6372,0.0,0.0,51.05,48.23529411764706,63.800000000000004,0.04999999999999716,-1.176470588235297,0.20000000000000284,2000,85,500
24,3998,0.0,0.0,51.05,45.88235294117647,61.0,0.04999999999999716,-3.529411764705884,-2.6000000000000014,2000,85,500
9,6976,0.0,0.0,51.15,45.88235294117647,63.0,0.14999999999999858,-3.529411764705884,-0.6000000000000014,2000,85,500
12,835,0.0,0.0,51.449999999999996,51.76470588235295,63.4,0.44999999999999574,2.352941176470594,-0.20000000000000284,2000,85,500
