layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
12,8942,0.0,0.0,50.849999999999994,45.88235294117647,63.2,-0.15000000000000568,-3.529411764705884,-0.3999999999999986,2000,85,500
10,11574,0.0,0.0,50.8,45.88235294117647,61.6,-0.20000000000000284,-3.529411764705884,-2.0,2000,85,500
11,6616,0.0,0.0,51.449999999999996,52.94117647058824,62.8,0.44999999999999574,3.529411764705884,-0.8000000000000043,2000,85,500
25,14757,0.0,0.0,50.9,50.588235294117645,62.8,-0.10000000000000142,1.17647058823529,-0.8000000000000043,2000,85,500
9,3532,0.0,0.0,50.7,48.23529411764706,62.6,-0.29999999999999716,-1.176470588235297,-1.0,2000,85,500
10,1966,0.0,0.0,50.3,45.88235294117647,63.0,-0.7000000000000028,-3.529411764705884,-0.6000000000000014,2000,85,500
25,7603,0.0,0.0,51.24999999999999,51.76470588235295,63.0,0.2499999999999929,2.352941176470594,-0.6000000000000014,2000,85,500
3,538,0.0,0.0,50.449999999999996,47.05882352941176,62.0,-0.5500000000000043,-2.352941176470594,-1.6000000000000014,2000,85,500
10,192,0.0,0.0,50.55,56.470588235294116,64.60000000000001,-0.45000000000000284,7.058823529411761,1.000000000000007,2000,85,500
7,8432,0.0,0.0,51.2,44.70588235294118,62.2,0.20000000000000284,-4.705882352941174,-1.3999999999999986,2000,85,500
10,15779,0.0,0.0,51.74999999999999,48.23529411764706,63.0,0.7499999999999929,-1.176470588235297,-0.6000000000000014,2000,85,500
10,5686,0.0,0.0,51.15,45.88235294117647,61.4,0.14999999999999858,-3.529411764705884,-2.200000000000003,2000,85,500
14,15257,0.0,0.0,51.7,52.94117647058824,63.800000000000004,0.7000000000000028,3.529411764705884,0.20000000000000284,2000,85,500
20,13779,0.0,0.0,50.5,50.588235294117645,63.800000000000004,-0.5,1.17647058823529,0.20000000000000284,2000,85,500
12,3122,0.0,0.0,52.5,55.294117647058826,65.60000000000001,1.5,5.882352941176471,2.000000000000007,2000,85,500
13,16103,0.0,0.0,51.0,57.647058823529406,64.0,0.0,8.23529411764705,0.3999999999999986,2000,85,500
25,8841,0.0,0.0,50.8,56.470588235294116,64.0,-0.20000000000000284,7.058823529411761,0.3999999999999986,2000,85,500
7,11595,0.0,0.0,51.349999999999994,60.0,63.0,0.3499999999999943,10.588235294117645,-0.6000000000000014,2000,85,500
3,6567,0.0,0.0,50.6,45.88235294117647,62.6,-0.3999999999999986,-3.529411764705884,-1.0,2000,85,500
25,7191,0.0,0.0,49.8,42.35294117647059,60.199999999999996,-1.2000000000000028,-7.058823529411768,-3.4000000000000057,2000,85,500
3,1000,0.0,0.0,50.74999999999999,51.76470588235295,59.599999999999994,-0.2500000000000071,2.352941176470594,-4.000000000000007,2000,85,500
12,15158,0.0,0.0,50.64999999999999,51.76470588235295,64.0,-0.3500000000000085,2.352941176470594,0.3999999999999986,2000,85,500
9,11829,0.0,0.0,51.300000000000004,50.588235294117645,63.6,0.30000000000000426,1.17647058823529,0.0,2000,85,500
8,9770,0.0,0.0,50.4,49.411764705882355,61.0,-0.6000000000000014,0.0,-2.6000000000000014,2000,85,500
20,9720,0.0,0.0,51.449999999999996,48.23529411764706,62.8,0.44999999999999574,-1.176470588235297,-0.8000000000000043,2000,85,500
9,2271,0.0,0.0,50.64999999999999,47.05882352941176,65.60000000000001,-0.3500000000000085,-2.352941176470594,2.000000000000007,2000,85,500
23,15791,0.0,0.0,51.65,45.88235294117647,62.6,0.6499999999999986,-3.529411764705884,-1.0,2000,85,500
20,11261,0.0,0.0,51.55,48.23529411764706,65.0,0.5499999999999972,-1.176470588235297,1.3999999999999986,2000,85,500
9,15450,0.0,0.0,51.6,55.294117647058826,62.6,0.6000000000000014,5.882352941176471,-1.0,2000,85,500
12,16116,0.0,0.0,50.4,41.17647058823529,61.8,-0.6000000000000014,-8.235294117647065,-1.8000000000000043,2000,85,500
4,16171,0.0,0.0,50.6,41.17647058823529,56.599999999999994,-0.3999999999999986,-8.235294117647065,-7.000000000000007,2000,85,500
0,16186,0.0,0.0,51.449999999999996,47.05882352941176,61.199999999999996,0.44999999999999574,-2.352941176470594,-2.4000000000000057,2000,85,500
