layer,feature
24,8136
17,11998
20,1377
19,14927
23,2288
20,8147
21,9424
11,15359
7,5763
10,4752
14,8270
7,5992
17,11356
4,10986
25,6827
7,8210
7,4931
17,259
18,16177
24,1392
17,737
14,11265
25,14258
13,412
23,3620
14,12673
25,11781
15,14601
13,11779
8,4145
16,7786
22,15900
14,7644
23,14130
6,14657
6,12794
16,4727
12,14546
12,1794
22,2012
24,3554
12,14319
22,5863
4,2046
18,1052
17,2960
20,3258
11,10642
21,16289
11,11441
24,6287
20,3201
19,13909
9,5763
17,15022
24,9633
22,10451
24,3721
14,16336
21,12828
12,3762
16,4317
15,11269
22,1403
7,355
3,7085
5,6272
19,7763
15,12461
15,10746
10,6734
6,140
20,2595
15,292
22,462
20,5382
6,3002
19,13941
20,5310
14,4022
6,15639
21,4290
10,12489
16,6829
20,10109
6,14626
18,13837
19,4
21,4715
14,1542
24,15108
11,12633
9,3529
6,3860
14,14121
25,1276
10,14478
9,4620
4,5988
11,13051
6,5823
13,5962
10,10589
15,8670
13,8606
23,4277
12,9564
23,2618
16,7464
19,15494
22,3869
13,14839
10,15758
5,4715
4,15132
12,9605
4,1154
7,3798
24,12788
13,11674
7,8715
22,5275
20,13663
20,618
15,11684
21,2032
19,13584
25,2234
21,15176
16,8643
15,14057
20,523
22,3390
16,234
19,5185
19,3275
25,14555
24,15414
11,7368
18,9812
11,10094
20,11774
8,10322
24,5640
19,3369
12,2430
10,14175
22,14913
19,4916
17,4300
24,8539
23,211
12,16328
6,8365
23,15338
4,15913
18,322
14,7876
10,169
24,6501
11,4811
25,12733
21,2082
16,13360
19,8068
7,8955
15,5071
16,11744
14,3975
25,14631
23,15890
20,44
17,13610
4,8517
7,616
16,14513
23,7941
21,4515
16,16189
24,638
5,12628
17,12466
13,7090
19,5044
8,6458
13,2728
11,16326
20,12987
24,11011
14,2632
19,2068
24,8508
13,8115
8,12287
9,13954
17,185
23,7899
19,6285
7,8306
10,4848
13,14194
7,14959
12,10389
15,5647
9,1240
8,1118
6,7383
11,892
20,3235
21,12658
13,9137
17,7712
14,10376
17,12768
7,11991
13,1377
21,8123
23,1775
8,1408
7,8028
8,1714
25,3927
11,6687
17,7087
24,3800
19,482
14,13408
13,7707
21,7609
20,2679
22,5684
12,11365
23,10764
22,10669
7,790
16,1424
24,9323
12,7580
19,9779
22,8970
7,1179
8,2536
20,262
18,366
13,13478
16,4086
16,5868
10,12123
15,11084
20,3482
12,12200
24,6377
21,13171
21,13178
24,12353
14,7347
23,8870
10,9752
13,3384
10,3325
24,2629
16,5737
15,14622
10,488
21,7978
24,10265
1,570
18,16132
6,10599
14,14432
15,15597
24,15645
23,8405
25,5014
19,160
7,12428
14,5738
19,10991
25,3539
16,15416
11,11438
7,4502
9,12163
13,1721
15,13220
14,14645
9,12446
13,1865
11,11023
17,3805
14,5060
5,1681
14,6062
7,13470
6,3708
10,10982
16,12421
14,4742
14,10420
24,13175
19,10951
17,12844
20,15838
13,9468
11,4290
14,2728
15,5732
14,13826
10,9370
14,4074
22,7846
14,10411
11,8846
16,12250
7,16019
11,11341
11,14838
12,1117
18,7487
12,15339
17,9242
23,1235
16,1873
18,9830
14,10946
19,752
14,2424
18,7921
3,7369
8,9236
13,5432
17,4541
20,15308
17,6316
14,3944
7,11336
21,999
22,8973
20,902
12,5906
5,11631
24,1012
21,10955
15,8738
13,7841
18,12953
16,14743
3,15159
7,3765
15,4705
5,14160
18,9770
12,5273
20,14757
14,12189
18,14129
11,12862
13,1565
13,14446
12,9062
24,9439
13,11293
8,631
20,13936
13,15723
7,8888
22,1016
25,15907
9,3055
11,8928
8,7496
13,5694
17,13363
6,11122
13,5421
24,8715
12,711
10,1205
19,9189
19,1491
14,10979
6,726
19,14143
12,14333
23,13344
6,2850
23,8014
14,12392
1,2001
25,13080
18,8468
17,8179
22,15176
14,13374
10,4462
12,11533
7,12112
7,13466
25,5583
17,4526
7,15355
5,1280
17,4886
12,9067
2,4109
16,491
25,11707
11,15012
18,12191
18,1195
23,5465
23,2689
10,6042
25,1806
20,14726
17,5188
9,11828
20,15708
15,9804
12,8226
24,83
19,6496
9,3490
22,13836
12,6642
12,6855
4,7386
24,4513
17,14806
23,2967
9,12411
21,6325
18,6322
20,14004
19,448
6,11477
25,3550
21,9063
17,9776
25,2275
19,5285
9,15672
21,16356
18,9618
15,2075
17,15465
12,4863
11,12794
21,3843
8,6433
24,8834
14,4447
17,11000
23,4814
17,14104
21,5678
11,2104
17,14782
11,7965
15,4696
21,12692
18,13403
17,6276
12,7141
18,14722
18,3714
20,152
25,145
17,1472
21,9544
23,13779
6,15100
22,8196
18,13271
12,4740
7,12589
16,516
23,11304
9,2125
16,7104
17,11309
23,8809
19,12141
17,3933
23,7954
15,14964
15,10715
7,7468
12,4540
11,4033
22,9989
21,11852
14,7083
5,4843
15,3751
12,7228
25,7721
15,6662
13,4658
13,132
6,10581
25,11328
16,3751
14,16262
15,463
8,13096
21,10064
8,4219
23,10483
14,11586
16,803
15,5392
17,3250
11,3141
24,7272
12,13491
24,16016
9,9204
11,89
5,9341
25,3175
24,2143
20,10147
13,2797
23,6720
24,3181
23,73
23,16050
12,10840
12,1170
19,14859
6,3024
11,13413
12,11543
2,3104
16,10083
10,7721
17,3612
23,13970
22,2293
5,3565
5,1442
17,10671
14,16241
11,15752
17,12276
16,14542
5,9611
8,12031
10,10580
8,12161
16,10366
24,3995
5,3782
22,10196
22,12394
23,7910
18,5616
12,5565
11,12149
9,6087
10,7086
9,91
17,15795
17,6677
18,9440
12,9835
24,15611
9,7407
10,3841
21,6142
19,9458
10,14354
5,10718
14,6181
23,3184
21,2039
21,309
15,3798
13,15365
16,14152
9,5841
22,2322
15,12181
17,7258
9,2140
24,4026
8,10055
4,1813
14,9692
19,8378
23,8888
4,16208
23,8384
21,15380
13,6504
17,13264
10,13885
12,3799
9,16150
25,12198
20,3435
15,14468
9,3493
19,16027
14,12406
23,11631
19,2147
19,13760
20,2109
20,10948
15,14439
21,12299
25,2937
17,5636
8,10896
11,11513
13,4152
17,10963
13,13859
9,2970
5,7664
17,13886
7,8396
12,2666
22,12887
13,5245
18,14700
18,16003
24,7907
9,998
17,6293
6,3649
7,12369
15,12231
17,11099
8,12970
3,11641
22,4866
19,10873
12,14736
10,4314
9,15783
21,13360
20,6562
8,14285
15,7571
13,2245
17,5846
23,14243
19,6666
25,15525
13,10906
8,2933
11,15408
15,2351
17,2004
7,14016
22,14127
16,12623
2,5606
15,9596
21,12557
8,2288
6,11731
9,14498
24,10205
14,2726
9,8512
16,13659
17,3039
14,12220
17,601
25,15301
21,7178
13,5107
15,8345
4,8111
20,14475
24,15352
23,8569
7,3486
23,9868
6,7090
23,8085
13,2253
21,5226
15,14268
16,5082
22,8871
17,16073
18,3263
14,14344
16,15663
13,193
11,2113
22,4253
24,7280
11,11067
14,15145
6,7039
20,8604
15,14155
21,13780
11,1832
10,13484
16,7950
17,3448
24,16145
11,1895
17,10343
16,6588
14,10962
21,14303
25,15299
16,8636
7,15705
19,282
16,7008
15,6353
23,5933
8,15387
10,4081
20,1019
19,3716
8,2584
12,9831
17,5100
20,15512
11,11389
24,1648
8,8128
15,13662
14,6314
16,4920
15,6713
16,1149
23,7217
19,3784
10,6468
6,13999
15,2674
22,8744
14,5004
14,12480
10,10885
21,11228
24,1395
4,7483
14,10823
17,13636
13,2371
24,14324
7,12317
6,11370
24,9704
20,13512
17,10986
10,11573
0,11724
6,556
9,15322
24,12602
12,5582
12,9284
18,15590
20,10803
6,1031
13,926
16,10592
12,2713
14,3335
19,14816
10,5456
20,15085
6,8496
6,12362
14,969
21,2281
20,1398
8,15937
13,9134
12,12181
13,1516
19,13852
14,1878
12,10830
9,6500
8,9773
14,1219
7,12925
6,13365
16,3891
8,14647
5,6953
4,11908
11,3663
25,3068
8,4267
5,16193
14,4754
13,8281
8,265
23,12338
18,2470
10,6141
9,6354
25,10665
21,13175
23,11124
20,14621
7,13830
17,7948
16,6130
23,14254
18,15143
6,7028
13,3654
6,2630
24,14536
25,342
19,777
17,8035
13,1891
21,10739
14,1135
15,11578
16,3948
13,7357
15,5581
22,13320
23,3852
12,8867
14,10368
15,14731
8,13347
23,4665
22,3806
19,6719
22,11777
11,11789
24,2759
18,11716
14,11950
22,10471
17,2428
13,8745
6,8501
15,431
15,1043
14,8236
17,13322
16,15315
20,5171
22,4763
13,7786
17,7309
22,15091
23,538
18,12442
17,11988
13,3809
24,14826
14,6713
17,8738
8,2774
4,13237
14,794
10,7806
17,10415
15,10083
16,5890
12,12434
11,8205
22,7183
12,6968
22,11667
13,13349
21,7033
10,8549
15,12327
5,3815
15,5365
12,13234
24,5280
12,9936
24,4460
13,13440
21,13821
9,15373
18,10250
11,6313
12,3889
18,9350
17,3061
22,3050
12,11483
23,8713
22,4998
21,9729
9,3859
16,16317
16,7693
14,1616
12,3024
13,9849
14,15429
16,15380
8,11231
14,15988
25,7154
16,13589
7,1007
13,706
22,3883
22,7196
12,1118
12,3873
22,14521
22,3748
9,11624
10,10324
23,2168
25,10833
12,12845
10,4661
21,370
18,1970
21,11327
0,1331
20,1034
11,10522
21,12096
10,15678
19,13947
24,879
19,16213
10,13176
9,4347
19,4703
19,10692
24,9098
21,6235
13,3620
12,8768
11,1160
18,6882
19,7192
12,4213
14,9953
16,15890
7,7658
23,14806
10,1737
12,13171
20,185
12,10091
20,15809
8,273
11,8137
14,506
18,7447
10,15682
15,4734
15,8956
10,8388
14,8706
8,4777
10,3776
17,2976
5,14891
21,10021
12,4610
23,15219
22,10845
10,12721
25,16150
20,13503
14,9250
25,7622
25,709
10,1777
13,6760
11,13332
18,4025
7,10341
14,13538
14,3683
10,14715
6,2912
12,11881
18,12257
17,8569
6,15807
16,15103
20,3877
22,10435
18,12822
13,7775
18,3183
23,13050
17,13361
18,8813
12,8535
18,14799
9,6702
18,3884
21,8663
14,4406
1,3440
20,1389
11,9833
14,5581
16,79
19,14707
24,8870
16,5601
22,13026
13,8373
13,14384
21,7043
22,15068
23,7999
12,6544
17,15467
16,2628
17,16248
15,8119
12,10971
11,5239
5,15479
18,6893
12,12842
18,8976
17,15184
18,2216
6,15796
16,6879
12,7297
17,15599
9,716
6,15158
13,6914
6,14415
13,441
19,4840
6,15897
17,5375
12,4158
13,11980
19,7198
18,6111
6,961
16,3393
8,9758
22,1034
10,13041
19,10949
6,6594
10,3816
25,9635
18,14784
19,7416
12,13326
16,140
16,10600
14,2036
10,1377
17,12192
4,2773
10,13135
8,4820
15,14138
9,4816
7,15030
11,5100
19,13011
20,10858
25,1379
14,11870
13,822
16,14522
9,2744
18,3410
13,8547
19,5377
4,6449
20,3082
2,2210
22,8165
13,8990
12,9097
8,6359
15,2786
8,2675
21,795
23,11361
15,2659
18,8329
22,8552
14,12702
25,4678
2,13475
7,953
19,12561
12,8722
12,8974
19,7846
24,954
12,12857
15,343
10,4038
16,16250
15,6704
9,2139
16,5461
16,3348
25,8087
6,14091
25,9724
19,11627
13,5995
17,7735
8,3915
14,13825
15,12901
15,10413
21,9591
19,9760
9,14835
18,2285
16,9109
13,12583
5,12408
23,2597
16,16302
16,8764
23,1590
10,4115
18,11395
14,13114
14,16328
12,1685
12,8923
14,11907
5,3981
22,11779
15,2602
8,236
11,3046
11,6708
20,1931
4,2309
15,13631
24,10960
16,1797
8,12740
19,2008
21,4390
19,13354
23,12906
5,8852
25,2745
18,4884
24,4121
15,10475
4,8029
6,15245
20,7396
8,9923
16,16182
16,13597
13,660
22,6686
23,1160
9,11121
11,12679
17,13336
10,13766
20,13707
25,2098
14,3287
10,7202
24,11335
22,2504
16,1310
11,9115
24,440
11,10376
8,3311
14,14578
21,8895
5,11957
19,3231
14,4345
13,1534
22,2721
12,12470
25,480
16,12540
22,10901
11,5456
9,1449
11,14798
14,13458
23,503
12,7550
12,7917
12,8386
21,2448
17,11121
18,4109
11,1301
10,2524
20,10456
24,1535
13,6677
14,15729
19,9212
15,2682
22,8210
0,8725
10,16007
18,9904
22,6047
15,14328
13,13611
10,12067
11,13815
17,13280
21,13088
24,5629
1,11501
23,13885
10,8397
11,616
17,15502
14,5981
25,217
15,3480
14,14722
16,5937
9,8570
13,9581
25,7368
15,1748
14,6078
10,3301
18,3915
9,316
12,2772
23,8037
9,12092
17,12380
19,14010
22,8646
14,1411
11,14423
6,6020
13,9731
17,5388
13,6131
18,11663
15,12662
23,139
14,11253
19,12381
14,1563
6,7672
9,11970
0,2261
23,2718
19,1595
6,6689
12,15478
25,5631
17,5975
10,5035
8,15059
10,14816
18,1271
14,15396
24,2225
7,1533
12,13836
23,5044
14,14473
17,4087
22,4929
24,1129
17,14451
4,7720
16,8015
17,13084
16,9861
10,9231
8,15043
22,13208
21,9843
7,552
23,11295
8,14144
20,14862
15,6118
14,1297
22,5786
19,15001
13,13334
0,11527
15,5423
13,5183
16,14050
20,12619
6,3602
19,2144
17,3969
25,12642
14,13283
15,437
11,3580
7,13851
7,13974
0,15130
9,7425
17,7529
13,1244
14,2673
22,9503
1,12837
14,15388
22,14794
12,753
3,10905
4,16240
23,14195
14,641
8,13618
17,7656
20,5231
11,12542
12,11003
9,13473
21,10051
19,497
10,15175
21,13807
16,12858
8,13475
18,2969
10,3851
5,7165
6,3424
17,9645
19,9678
17,4183
7,4232
23,16242
14,12951
13,12718
6,16298
8,7254
11,7529
4,9221
16,4896
10,8666
5,2117
15,3959
24,1486
14,9359
17,4915
11,6285
4,16115
21,9856
8,6177
25,9899
10,9114
14,13257
21,642
12,15544
18,5770
19,7090
19,5132
19,6242
11,6073
13,13156
19,4593
3,8734
17,5922
23,14873
16,10040
10,5483
18,7023
17,4759
8,3246
21,13576
17,11817
17,14324
21,5
7,11839
15,13029
8,10960
5,6159
6,5756
19,12021
23,8348
16,11501
20,82
6,14221
12,15745
25,15978
21,15714
7,6820
4,8324
23,306
14,14442
19,10623
19,12389
9,3506
10,10511
22,3353
18,14493
14,16089
9,3505
11,2643
14,10537
16,161
17,8609
20,15032
22,2400
11,3627
18,5667
15,16261
21,4115
10,1711
17,5902
7,2123
11,8626
17,12510
12,2115
18,215
16,13502
16,6953
12,7098
13,9771
18,2019
9,11962
12,13231
20,8348
0,9791
17,7813
13,8367
20,13565
10,13357
15,15391
9,3803
14,885
10,13727
4,14489
12,7903
1,4470
21,11524
17,5538
7,15360
11,8089
16,14270
6,9402
17,2680
23,15603
16,7197
19,8411
5,8487
6,7300
19,9547
23,12772
7,16034
15,9454
13,4171
19,1191
14,6593
16,7033
13,9167
20,9705
23,2759
5,5364
9,13078
10,10949
9,3948
13,6017
18,3281
14,5529
18,4261
10,2401
6,2074
13,2189
13,11538
4,7862
10,1294
22,587
16,14960
17,10938
19,12616
20,2232
22,3008
14,6541
20,11235
22,234
24,12970
14,9979
15,219
14,15239
9,463
16,7635
11,3609
12,7545
16,10455
10,12509
9,7314
10,15889
18,9736
22,12269
25,5816
11,2859
18,7904
12,15773
13,1380
10,15119
17,15839
6,9063
19,3203
13,641
20,4474
22,5048
9,8702
8,13505
3,4530
15,14759
18,1660
5,4064
17,13187
5,3086
20,16358
14,1850
17,14441
7,15192
7,12028
16,13037
8,6088
14,7454
12,2480
12,8522
18,635
14,7266
19,1251
16,9312
21,5651
18,5776
14,11500
20,8616
6,673
21,8101
7,6157
6,4645
23,6428
2,10990
23,10565
22,1389
18,3704
10,9694
19,6944
8,11317
