layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
11,7891,2.5655017389223755,0.0114358042211409,49.8,40.0,51.0,-1.2000000000000028,-9.411764705882355,-12.600000000000001,2000,85,500
25,7191,2.32769866981568,0.010093416850172,49.8,42.35294117647059,60.199999999999996,-1.2000000000000028,-7.058823529411768,-3.4000000000000057,2000,85,500
0,11393,1.7567803451652546,0.0185021051852481,49.85,42.35294117647059,62.6,-1.1499999999999986,-7.058823529411768,-1.0,2000,85,500
24,8901,2.45337841753173,0.0106054033258386,50.0,52.94117647058824,65.4,-1.0,3.529411764705884,1.8000000000000043,2000,85,500
25,13610,1.5439636282635707,0.013035154435729,50.14999999999999,43.529411764705884,59.8,-0.8500000000000085,-5.882352941176471,-3.8000000000000043,2000,85,500
9,13782,2.533631600745157,0.0296470416217151,50.2,49.411764705882355,63.6,-0.7999999999999972,0.0,0.0,2000,85,500
9,5099,2.421336671053325,0.0311667661334315,50.2,43.529411764705884,61.199999999999996,-0.7999999999999972,-5.882352941176471,-2.4000000000000057,2000,85,500
0,2011,2.95177186947217,0.0150009825045598,50.2,41.17647058823529,56.2,-0.7999999999999972,-8.235294117647065,-7.399999999999999,2000,85,500
18,2118,3.095868832976137,0.0162036649164702,50.2,55.294117647058826,64.8,-0.7999999999999972,5.882352941176471,1.1999999999999957,2000,85,500
18,14513,2.0220043359454745,0.0162180983233284,50.2,61.1764705882353,50.8,-0.7999999999999972,11.764705882352942,-12.800000000000004,2000,85,500
7,10881,2.603498412887583,0.0129281423883548,50.2,45.88235294117647,62.6,-0.7999999999999972,-3.529411764705884,-1.0,2000,85,500
9,12544,2.9726906912507416,0.0127082683964978,50.2,50.588235294117645,63.0,-0.7999999999999972,1.17647058823529,-0.6000000000000014,2000,85,500
21,5722,2.515707596248143,0.0233041946679601,50.2,52.94117647058824,63.800000000000004,-0.7999999999999972,3.529411764705884,0.20000000000000284,2000,85,500
11,15502,2.099013711532338,0.0149023535248912,50.2,54.11764705882353,62.2,-0.7999999999999972,4.705882352941174,-1.3999999999999986,2000,85,500
5,10679,2.76269362492336,0.0121074815680518,50.24999999999999,56.470588235294116,64.2,-0.7500000000000071,7.058823529411761,0.6000000000000014,2000,85,500
25,11365,3.110499334350864,0.0363252887456167,50.24999999999999,42.35294117647059,62.2,-0.7500000000000071,-7.058823529411768,-1.3999999999999986,2000,85,500
24,8269,2.1341982856225354,0.0320713829300813,50.24999999999999,58.82352941176471,59.599999999999994,-0.7500000000000071,9.411764705882355,-4.000000000000007,2000,85,500
10,1966,3.790598273518069,0.0135572243784563,50.3,45.88235294117647,63.0,-0.7000000000000028,-3.529411764705884,-0.6000000000000014,2000,85,500
11,2419,4.180981904094844,0.0159131378373299,50.349999999999994,49.411764705882355,63.0,-0.6500000000000057,0.0,-0.6000000000000014,2000,85,500
2,12714,1.93339319979658,0.0147583540957519,50.349999999999994,40.0,57.4,-0.6500000000000057,-9.411764705882355,-6.200000000000003,2000,85,500
25,1941,3.169115873556597,0.0666266209652103,50.349999999999994,43.529411764705884,62.2,-0.6500000000000057,-5.882352941176471,-1.3999999999999986,2000,85,500
11,9639,4.48876847173773,0.011671394184706,50.349999999999994,49.411764705882355,62.8,-0.6500000000000057,0.0,-0.8000000000000043,2000,85,500
20,1174,2.8655696642196067,0.0117222231913369,50.349999999999994,52.94117647058824,64.4,-0.6500000000000057,3.529411764705884,0.8000000000000043,2000,85,500
23,7372,2.472341573069248,0.0145500708612391,50.4,44.70588235294118,59.4,-0.6000000000000014,-4.705882352941174,-4.200000000000003,2000,85,500
10,8661,2.3576110587334567,0.0114458393279065,50.4,45.88235294117647,62.2,-0.6000000000000014,-3.529411764705884,-1.3999999999999986,2000,85,500
10,8056,7.103861869772687,0.0109938622774544,50.4,56.470588235294116,63.4,-0.6000000000000014,7.058823529411761,-0.20000000000000284,2000,85,500
8,9770,2.051448774955744,0.0231854641625282,50.4,49.411764705882355,61.0,-0.6000000000000014,0.0,-2.6000000000000014,2000,85,500
12,16116,1.640895427952238,0.0124271552374955,50.4,41.17647058823529,61.8,-0.6000000000000014,-8.235294117647065,-1.8000000000000043,2000,85,500
22,460,2.2316114156482763,0.0190171486554352,50.449999999999996,47.05882352941176,61.199999999999996,-0.5500000000000043,-2.352941176470594,-2.4000000000000057,2000,85,500
