layer,feature,freq_vqa,freq_vsr,freq_diff,freq_vqa_img,freq_vsr_img,freq_diff_img,odds_ratio,p_adj
0,9,0.0043,0.0127506973037588,0.0084506973037588,0.0,0.0,0.0,2.990660755461972,5.328281727424351e-10
0,15,0.0082,0.0204542435914464,0.0122542435914464,0.0,0.0,0.0,2.52562546506821,4.449085320559604e-12
0,24,0.0028,0.0288218886970381,0.0260218886970381,0.0,0.0,0.0,10.56933807439825,1.1391450040931445e-50
0,27,0.0472,0.146765838756807,0.099565838756807,0.0,0.0,0.0,3.4722940456339573,2.2534172559297493e-114
0,34,0.0035,0.0070394474697835,0.0035394474697835,0.0,0.0,0.0,2.0184399602537644,0.0008692500651049
0,51,0.0075,0.060034533138531,0.052534533138531,0.0,0.0,0.0,8.451980594413829,1.524319878358321e-94
0,56,0.0028,0.0180634878469916,0.0152634878469916,0.0,0.0,0.0,6.551525574385036,6.929723593892547e-26
0,58,0.0084,0.0706601142249966,0.0622601142249966,0.0,0.0,0.0,8.975465675765804,3.178237899439313e-114
0,71,0.012,0.0415725860007969,0.0295725860007969,0.0,0.0,0.0,3.5712767923133777,1.3296295494738569e-35
0,73,0.0018,0.0199229645371231,0.0181229645371231,0.0,0.0,0.0,11.272981885531012,2.8377391808099816e-36
0,75,0.0099,0.0568468588125913,0.0469468588125913,0.0,0.0,0.0,6.027928915972853,3.044613333820037e-74
0,88,0.0024,0.0211183424093505,0.0187183424093505,0.0,0.0,0.0,8.967571234735415,4.491256394068688e-35
0,98,0.0071,0.0620268295922433,0.0549268295922433,0.0,0.0,0.0,9.247755294155189,8.887623805083979e-102
0,112,0.0234,1.0,0.9766,0.0,0.0,0.0,inf,0.0
0,113,0.0063,0.0617611900650816,0.0554611900650816,0.0,0.0,0.0,10.382860108935986,1.9497789372845737e-106
0,115,0.9943,1.0,0.0057,0.0,0.0003984592907424,0.0003984592907424,inf,1.7688249338836507e-14
0,124,0.0357,0.070394474697835,0.034694474697835,0.0,0.0,0.0,2.045426257372502,7.9440921714892415e-25
0,125,0.0059,0.0135476158852437,0.0076476158852437,0.0,0.0,0.0,2.3140077545738977,1.6384815241926405e-07
0,135,0.0038,0.015539912338956,0.011739912338956,0.0,0.0,0.0,4.138218252052149,2.1798362671679146e-16
0,145,0.0117,0.0235090981538052,0.0118090981538052,0.0,0.0,0.0,2.033624201333668,1.991564151088177e-09
0,151,0.0112,0.0539248240138132,0.0427248240138132,0.0,0.0,0.0,5.032149375263232,3.730229904255776e-62
0,155,0.0112,0.0395802895470846,0.0283802895470846,0.0,0.0,0.0,3.638382361657151,1.1768067556550783e-34
0,161,0.0017,0.080754416257139,0.079054416257139,0.0,0.0,0.0,51.58778483218168,3.253853271045598e-200
0,186,0.0138,0.0690662770620268,0.0552662770620268,0.0,0.0,0.0,5.301920305363084,3.5693982846195126e-82
0,187,0.0068,0.0519325275601009,0.0451325275601009,0.0,0.0,0.0,8.0007004763239,8.266231145588022e-80
0,189,0.0153,0.0486120334705804,0.0333120334705804,0.0,0.0,0.0,3.2885060208643,1.1644799387747811e-37
0,192,0.0099,0.0576437773940762,0.0477437773940762,0.0,0.0,0.0,6.117601668553043,5.697114218102797e-76
0,207,0.0089,0.0268295922433258,0.0179295922433258,0.0,0.0,0.0,3.070100888969994,5.93008759152744e-20
0,212,0.0257,0.0565812192854296,0.0308812192854296,0.0,0.0,0.0,2.273669644710872,3.2755462841105296e-25
0,214,0.0075,0.0286890689334573,0.0211890689334573,0.0,0.0,0.0,3.9086558184055793,1.834807601542378e-27
0,218,0.0055,0.0142117147031478,0.0087117147031478,0.0,0.0,0.0,2.606783273315205,2.966616319522522e-09
0,231,0.0041,0.0142117147031478,0.0101117147031478,0.0,0.0,0.0,3.501827132256772,5.449041403501205e-13
0,240,0.0097,0.0350644175853366,0.0253644175853366,0.0,0.0,0.0,3.709909820421311,1.5739854802144132e-31
0,241,0.0015,0.0180634878469916,0.0165634878469916,0.0,0.0,0.0,12.245457414671536,5.914859734992822e-34
0,253,0.0027,0.0131491565945012,0.0104491565945012,0.0,0.0,0.0,4.921624046657694,4.311880421155608e-16
0,260,0.0122,0.0533935449594899,0.0411935449594899,0.0,0.0,0.0,4.5669734351243365,5.550653865267115e-57
0,264,0.0159,0.0498074113428078,0.0339074113428078,0.0,0.0,0.0,3.244325644447492,6.308966190558263e-38
0,265,0.0053,0.0365254349847257,0.0312254349847257,0.0,0.0,0.0,7.114942439044691,3.077368604576579e-53
0,270,0.0063,0.0211183424093505,0.0148183424093505,0.0,0.0,0.0,3.402862311817536,5.190283847974609e-18
0,271,0.0065,0.029618807278523,0.023118807278523,0.0,0.0,0.0,4.6653014382278,5.6888876570869024e-33
0,281,0.0053,0.0571124983397529,0.0518124983397529,0.0,0.0,0.0,11.368090642583196,5.166589013196148e-102
0,282,0.0028,0.0268295922433258,0.0240295922433258,0.0,0.0,0.0,9.818596580163389,6.5525282038993775e-46
0,285,0.0054,0.0143445344667286,0.0089445344667286,0.0,0.0,0.0,2.680501280150923,1.129191746137871e-09
0,287,0.0131,0.0394474697835037,0.0263474697835037,0.0,0.0,0.0,3.093854497399176,9.064118602841899e-29
0,289,0.989,1.0,0.011,0.9887,0.9968123256740604,0.0081123256740602,inf,2.194499034557787e-27
0,296,0.0041,0.0288218886970381,0.0247218886970381,0.0,0.0,0.0,7.208674681112238,1.2647670192596101e-42
0,304,0.0212,0.0640191260459556,0.0428191260459556,0.0,0.0,0.0,3.1579181292186425,1.5795425566848764e-46
0,305,0.012,0.0241731969717093,0.0121731969717093,0.0,0.0,0.0,2.039562633274352,1.059915525794136e-09
0,310,0.0115,0.1166157524239606,0.1051157524239606,0.0,0.0,0.0,11.347139691318077,9.433424990954952e-208
0,316,0.0252,0.2060034533138531,0.1808034533138531,0.0,0.0,0.0,10.03623604008348,0.0
0,318,0.003,0.0268295922433258,0.0238295922433258,0.0,0.0,0.0,9.162185523861517,1.3306387374182744e-44
0,326,0.0047,0.0268295922433258,0.0221295922433258,0.0,0.0,0.0,5.83823166429034,3.4292584818722114e-35
0,329,0.0314,0.0855359277460486,0.0541359277460486,0.0,0.0,0.0,2.8853382919575004,2.789164374652411e-54
0,333,0.0095,0.1358746181431797,0.1263746181431796,0.0,0.0,0.0,16.394283818984906,1.9518983781610867e-274
0,334,0.0056,1.0,0.9944,0.0,0.0,0.0,inf,0.0
0,339,0.037,0.104529153938106,0.0675291539381059,0.0,0.0,0.0,3.0381593399985567,2.486487868821349e-70
0,344,0.8597,0.9383716296984992,0.0786716296984991,0.8575,0.9383716296984992,0.0808716296984991,2.484877192525059,9.297495034904713e-66
0,346,0.0008,1.0,0.9992,0.0,0.0,0.0,inf,0.0
0,353,0.0031,0.0099614822685615,0.0068614822685615,0.0,0.0,0.0,3.235651782545851,7.798260422105955e-09
0,359,0.0064,0.080754416257139,0.074354416257139,0.0,0.0,0.0,13.63849154746424,1.7766053816860245e-153
0,364,0.0057,0.0127506973037588,0.0070506973037587,0.0,0.0,0.0,2.2529403017836533,7.149898150226733e-07
0,366,0.0032,0.0314782839686545,0.0282782839686545,0.0,0.0,0.0,10.124177180471747,2.6600993499645126e-54
0,407,0.0073,0.047416655598353,0.040116655598353,0.0,0.0,0.0,6.768977912582417,9.323367141535484e-67
0,430,0.0086,0.0336034001859476,0.0250034001859476,0.0,0.0,0.0,4.008466829461626,1.2345383362361536e-32
0,432,0.0056,0.0120865984858546,0.0064865984858546,0.0,0.0,0.0,2.1724926055391234,3.165427366362225e-06
0,438,0.0753,1.0,0.9247,0.0011,0.0033204940895205,0.0022204940895205,inf,0.0
0,454,0.0048,0.013281976358082,0.008481976358082,0.0,0.0,0.0,2.790864629604702,1.5364456040106072e-09
