layer,feature,fire_fraction
2,9916,0.545
2,10112,0.241
2,10157,0.97
2,10321,0.644
2,10412,0.983
2,10487,0.035
2,10528,1.0
2,10705,0.408
2,11186,0.728
2,11201,0.759
2,11410,0.093
2,11521,0.136
2,11681,0.055
2,11780,0.533
2,11830,1.0
2,11845,0.299
2,12074,0.167
2,12120,0.564
2,12173,0.45
2,12214,0.763
2,12245,0.162
2,12270,0.112
2,12309,0.515
2,12454,0.05
2,12715,0.92
2,12741,0.09
2,12789,0.31
2,12827,0.084
2,13328,0.79
2,13366,0.762
2,13487,0.457
2,13594,0.187
2,13625,0.268
2,13706,0.27
2,13837,0.235
2,14120,0.839
2,14391,0.07
2,14449,0.258
2,14547,0.474
2,14627,0.074
2,14638,0.058
2,14745,0.89
2,14793,0.835
2,14914,0.602
2,14985,0.075
2,15063,0.705
2,15155,1.0
2,15263,0.676
2,15393,0.51
2,15411,0.716
2,15492,0.985
2,15575,0.42
2,15634,0.879
2,15678,0.825
2,15856,0.76
2,15859,0.489
2,15881,0.338
2,15933,0.366
2,15957,0.658
2,16054,1.0
2,16140,0.196
2,16147,0.233
2,16168,0.065
2,16345,0.275
3,213,0.175
3,282,1.0
3,300,0.419
3,350,0.805
3,537,0.173
3,538,0.243
3,662,0.115
3,755,1.0
3,841,0.611
3,905,0.308
3,1008,0.13
3,1025,0.485
3,1036,0.26
3,1082,0.257
3,1416,0.344
3,1541,0.304
3,1599,0.191
3,1702,0.51
3,1984,1.0
3,1996,0.653
3,2031,0.607
3,2067,0.885
3,2170,0.351
3,2486,0.07
3,2511,0.395
3,2618,0.395
3,2647,0.27
3,2683,0.45
3,2829,0.602
3,2895,0.235
3,3108,0.485
3,3218,0.09
3,3235,0.455
3,3322,0.729
3,3388,0.482
3,3564,0.071
3,3592,0.435
3,3600,0.778
3,3693,0.09
3,3715,0.58
3,3730,0.97
3,3752,0.613
3,3796,0.285
3,3874,0.825
3,4015,0.271
3,4106,0.133
3,4305,0.574
3,4331,0.685
3,4533,0.335
3,4589,0.112
3,4810,0.299
3,4881,0.058
3,4963,0.106
3,4978,0.27
3,5013,0.11
3,5022,0.61
3,5106,0.18
3,5218,0.212
3,5262,0.507
3,5282,0.12
3,5557,0.155
3,5560,0.175
3,5610,0.171
3,5647,0.39
3,5750,0.71
3,5751,0.339
3,5757,1.0
3,6127,0.392
3,6272,0.725
3,6535,0.632
3,6567,0.195
3,7089,0.153
3,7116,0.447
3,7326,0.145
3,7418,0.632
3,7447,0.185
3,7591,0.331
3,7640,0.428
3,7767,0.613
3,7851,0.807
3,8080,0.238
3,8097,0.25
3,8193,0.074
