layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
14,7199,0.0,0.0,50.55,55.294117647058826,63.6,-0.45000000000000284,5.882352941176471,0.0,2000,85,500
25,2123,0.0,0.0,50.949999999999996,56.470588235294116,62.6,-0.05000000000000426,7.058823529411761,-1.0,2000,85,500
12,6425,0.0,0.0,50.849999999999994,42.35294117647059,61.199999999999996,-0.15000000000000568,-7.058823529411768,-2.4000000000000057,2000,85,500
11,2393,0.0,0.0,51.05,56.470588235294116,63.800000000000004,0.04999999999999716,7.058823529411761,0.20000000000000284,2000,85,500
8,12735,0.0,0.0,51.6,47.05882352941176,63.4,0.6000000000000014,-2.352941176470594,-0.20000000000000284,2000,85,500
25,8327,0.0,0.0,51.9,48.23529411764706,62.8,0.8999999999999986,-1.176470588235297,-0.8000000000000043,2000,85,500
10,2793,0.0,0.0,51.05,42.35294117647059,62.6,0.04999999999999716,-7.058823529411768,-1.0,2000,85,500
10,901,0.0,0.0,51.0,44.70588235294118,63.2,0.0,-4.705882352941174,-0.3999999999999986,2000,85,500
10,1804,0.0,0.0,50.64999999999999,49.411764705882355,63.800000000000004,-0.3500000000000085,0.0,0.20000000000000284,2000,85,500
9,3721,0.0,0.0,50.7,44.70588235294118,62.6,-0.29999999999999716,-4.705882352941174,-1.0,2000,85,500
9,11964,0.0,0.0,50.949999999999996,56.470588235294116,64.0,-0.05000000000000426,7.058823529411761,0.3999999999999986,2000,85,500
10,880,0.0,0.0,50.8,50.588235294117645,64.2,-0.20000000000000284,1.17647058823529,0.6000000000000014,2000,85,500
13,2429,0.0,0.0,51.74999999999999,45.88235294117647,63.800000000000004,0.7499999999999929,-3.529411764705884,0.20000000000000284,2000,85,500
5,10679,0.0,0.0,50.24999999999999,56.470588235294116,64.2,-0.7500000000000071,7.058823529411761,0.6000000000000014,2000,85,500
25,14289,0.0,0.0,52.1,54.11764705882353,63.0,1.1000000000000014,4.705882352941174,-0.6000000000000014,2000,85,500
25,6071,0.0,0.0,51.74999999999999,48.23529411764706,62.2,0.7499999999999929,-1.176470588235297,-1.3999999999999986,2000,85,500
9,13782,0.0,0.0,50.2,49.411764705882355,63.6,-0.7999999999999972,0.0,0.0,2000,85,500
15,15574,0.0,0.0,50.949999999999996,47.05882352941176,60.8,-0.05000000000000426,-2.352941176470594,-2.8000000000000043,2000,85,500
9,5099,0.0,0.0,50.2,43.529411764705884,61.199999999999996,-0.7999999999999972,-5.882352941176471,-2.4000000000000057,2000,85,500
10,3692,0.0,0.0,51.24999999999999,54.11764705882353,64.2,0.2499999999999929,4.705882352941174,0.6000000000000014,2000,85,500
10,13718,0.0,0.0,51.0,47.05882352941176,62.4,0.0,-2.352941176470594,-1.2000000000000028,2000,85,500
21,8021,0.0,0.0,50.64999999999999,48.23529411764706,63.6,-0.3500000000000085,-1.176470588235297,0.0,2000,85,500
12,12754,0.0,0.0,51.2,50.588235294117645,63.2,0.20000000000000284,1.17647058823529,-0.3999999999999986,2000,85,500
22,14622,0.0,0.0,52.400000000000006,54.11764705882353,64.4,1.4000000000000057,4.705882352941174,0.8000000000000043,2000,85,500
2,15933,0.0,0.0,52.0,52.94117647058824,62.4,1.0,3.529411764705884,-1.2000000000000028,2000,85,500
14,7870,0.0,0.0,51.2,47.05882352941176,62.0,0.20000000000000284,-2.352941176470594,-1.6000000000000014,2000,85,500
9,11161,0.0,0.0,51.74999999999999,51.76470588235295,63.6,0.7499999999999929,2.352941176470594,0.0,2000,85,500
25,14815,0.0,0.0,51.15,51.76470588235295,63.6,0.14999999999999858,2.352941176470594,0.0,2000,85,500
25,7528,0.0,0.0,51.2,55.294117647058826,63.800000000000004,0.20000000000000284,5.882352941176471,0.20000000000000284,2000,85,500
7,6326,0.0,0.0,53.1,56.470588235294116,64.2,2.1000000000000014,7.058823529411761,0.6000000000000014,2000,85,500
23,2341,0.0,0.0,52.5,57.647058823529406,63.0,1.5,8.23529411764705,-0.6000000000000014,2000,85,500
11,7845,0.0,0.0,51.949999999999996,51.76470588235295,64.0,0.9499999999999957,2.352941176470594,0.3999999999999986,2000,85,500
