layer,feature,odds_ratio,freq_diff,abl_vsr,abl_ctrl,abl_vqa,delta_vsr,delta_ctrl,delta_vqa,vsr_total,ctrl_total,vqa_total
7,3547,0.0,0.0,50.74999999999999,50.588235294117645,62.2,-0.2500000000000071,1.17647058823529,-1.3999999999999986,2000,85,500
25,7022,0.0,0.0,51.2,47.05882352941176,62.0,0.20000000000000284,-2.352941176470594,-1.6000000000000014,2000,85,500
22,15113,0.0,0.0,50.74999999999999,56.470588235294116,63.800000000000004,-0.2500000000000071,7.058823529411761,0.20000000000000284,2000,85,500
15,7447,0.0,0.0,51.55,49.411764705882355,62.6,0.5499999999999972,0.0,-1.0,2000,85,500
10,13207,0.0,0.0,50.7,45.88235294117647,59.4,-0.29999999999999716,-3.529411764705884,-4.200000000000003,2000,85,500
7,2362,0.0,0.0,51.15,50.588235294117645,62.8,0.14999999999999858,1.17647058823529,-0.8000000000000043,2000,85,500
4,11756,0.0,0.0,51.1,50.588235294117645,61.4,0.10000000000000142,1.17647058823529,-2.200000000000003,2000,85,500
1,7991,0.0,0.0,51.24999999999999,44.70588235294118,63.4,0.2499999999999929,-4.705882352941174,-0.20000000000000284,2000,85,500
9,5073,0.0,0.0,51.0,54.11764705882353,63.6,0.0,4.705882352941174,0.0,2000,85,500
20,10740,0.0,0.0,50.64999999999999,56.470588235294116,63.6,-0.3500000000000085,7.058823529411761,0.0,2000,85,500
21,10872,0.0,0.0,51.55,49.411764705882355,63.2,0.5499999999999972,0.0,-0.3999999999999986,2000,85,500
14,6628,0.0,0.0,51.449999999999996,55.294117647058826,65.2,0.44999999999999574,5.882352941176471,1.6000000000000014,2000,85,500
20,1174,0.0,0.0,50.349999999999994,52.94117647058824,64.4,-0.6500000000000057,3.529411764705884,0.8000000000000043,2000,85,500
10,3573,0.0,0.0,51.24999999999999,43.529411764705884,63.4,0.2499999999999929,-5.882352941176471,-0.20000000000000284,2000,85,500
12,14347,0.0,0.0,51.2,52.94117647058824,62.2,0.20000000000000284,3.529411764705884,-1.3999999999999986,2000,85,500
9,2234,0.0,0.0,51.949999999999996,50.588235294117645,63.800000000000004,0.9499999999999957,1.17647058823529,0.20000000000000284,2000,85,500
11,7891,0.0,0.0,49.8,40.0,51.0,-1.2000000000000028,-9.411764705882355,-12.600000000000001,2000,85,500
9,4125,0.0,0.0,50.64999999999999,56.470588235294116,64.0,-0.3500000000000085,7.058823529411761,0.3999999999999986,2000,85,500
24,8901,0.0,0.0,50.0,52.94117647058824,65.4,-1.0,3.529411764705884,1.8000000000000043,2000,85,500
21,14033,0.0,0.0,50.449999999999996,42.35294117647059,58.8,-0.5500000000000043,-7.058823529411768,-4.800000000000004,2000,85,500
8,11596,0.0,0.0,51.15,50.588235294117645,63.6,0.14999999999999858,1.17647058823529,0.0,2000,85,500
24,16182,0.0,0.0,52.0,52.94117647058824,62.4,1.0,3.529411764705884,-1.2000000000000028,2000,85,500
10,1733,0.0,0.0,51.300000000000004,50.588235294117645,62.6,0.30000000000000426,1.17647058823529,-1.0,2000,85,500
11,15502,0.0,0.0,50.2,54.11764705882353,62.2,-0.7999999999999972,4.705882352941174,-1.3999999999999986,2000,85,500
9,4075,0.0,0.0,52.2,57.647058823529406,63.800000000000004,1.2000000000000028,8.23529411764705,0.20000000000000284,2000,85,500
25,16362,0.0,0.0,51.949999999999996,57.647058823529406,64.4,0.9499999999999957,8.23529411764705,0.8000000000000043,2000,85,500
2,15263,0.0,0.0,51.5,43.529411764705884,62.2,0.5,-5.882352941176471,-1.3999999999999986,2000,85,500
25,1641,0.0,0.0,51.9,51.76470588235295,61.199999999999996,0.8999999999999986,2.352941176470594,-2.4000000000000057,2000,85,500
25,16250,0.0,0.0,51.449999999999996,50.588235294117645,63.0,0.44999999999999574,1.17647058823529,-0.6000000000000014,2000,85,500
1,6636,0.0,0.0,51.0,47.05882352941176,63.0,0.0,-2.352941176470594,-0.6000000000000014,2000,85,500
9,10694,0.0,0.0,50.849999999999994,52.94117647058824,63.800000000000004,-0.15000000000000568,3.529411764705884,0.20000000000000284,2000,85,500
25,13610,0.0,0.0,50.14999999999999,43.529411764705884,59.8,-0.8500000000000085,-5.882352941176471,-3.8000000000000043,2000,85,500
