layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj
25,7022,16021,1323088,261893,2701355,8.758667962445074,0.0,0.0969487534959307,0.0121087939728876,0.084839959523043,0.0
0,2596,3330,1323088,56189,2701355,8.418766048071204,0.0,0.0208003020706275,0.0025168393939027,0.0182834626767247,0.0
11,10017,2926,1323088,48308,2701355,8.215367957059124,0.0,0.017882877296764,0.0022114931130809,0.0156713841836831,0.0
21,14835,2534,1323088,41657,2701355,8.162162146610846,0.0,0.0154207795717334,0.0019152165237686,0.0135055630479648,0.0
8,4014,2204,1323088,35158,2701355,7.902873235200092,0.0,0.01301494990477,0.0016658000072557,0.0113491498975142,0.0
24,622,13004,1323088,195441,2701355,7.857270332657571,0.0,0.0723492469519926,0.0098285223658592,0.0625207245861333,0.0
23,4515,2204,1323088,34802,2701355,7.8218065728354755,0.0,0.0128831641898232,0.0016658000072557,0.0112173641825675,0.0
25,2123,2433,1323088,37274,2701355,7.59461646852597,0.0,0.0137982605025996,0.0018388799535631,0.0119593805490364,0.0
23,14658,16149,1323088,231233,2701355,7.576019665040574,0.0,0.0855988938884374,0.0122055373489896,0.0733933565394478,0.0
8,11974,3732,1323088,55006,2701355,7.34823958113981,0.0,0.0203623736976443,0.0028206740594729,0.0175416996381713,0.0
13,3210,4859,1323088,69891,2701355,7.205560747294348,0.0,0.0258725713577075,0.0036724692537457,0.0222001021039617,0.0
10,11574,4155,1323088,59234,2701355,7.11655916836289,0.0,0.0219275141549333,0.0031403806851849,0.0187871334697483,0.0
10,8056,2414,1323088,34627,2701355,7.103861869772687,0.0,0.0128183818861275,0.001824519608673,0.0109938622774544,0.0
24,1434,6009,1323088,83391,2701355,6.981763489983081,0.0,0.030870063357093,0.0045416480234118,0.0263284153336811,0.0
22,15113,2573,1323088,36034,2701355,6.938514587818943,0.0,0.0133392316078412,0.0019446930211747,0.0113945385866665,0.0
22,15478,14556,1323088,189411,2701355,6.778561560775287,0.0,0.0701170338589337,0.0110015358010956,0.0591154980578381,0.0
7,4525,23278,1323088,285689,2701355,6.603753321761921,0.0,0.1057576660601809,0.0175936899132937,0.0881639761468871,0.0
21,14330,12679,1323088,161823,2701355,6.585798273678219,0.0,0.059904381319745,0.0095828848874753,0.0503214964322697,0.0
12,3718,4537,1323088,59443,2701355,6.538987771259976,0.0,0.0220048827347756,0.0034290991982392,0.0185757835365364,0.0
20,4006,13622,1323088,171171,2701355,6.5032647313466025,0.0,0.0633648668908751,0.0102956114786015,0.0530692554122735,0.0
19,2286,10581,1323088,132410,2701355,6.3935327359120695,0.0,0.049016141899158,0.007997200488554,0.0410189414106039,0.0
5,10324,3607,1323088,46188,2701355,6.363474586000867,0.0,0.0170980859605642,0.0027261981062484,0.0143718878543158,0.0
16,14236,7330,1323088,91361,2701355,6.28338079383457,0.0,0.0338204345596931,0.0055400698970892,0.0282803646626039,0.0
23,1934,3840,1323088,47931,2701355,6.205904055476998,0.0,0.0177433177053737,0.002902301283059,0.0148410164223147,0.0
11,15594,23242,1323088,262670,2701355,6.023836453491673,0.0,0.0972363869243398,0.017566480838765,0.0796699060855747,0.0
14,1620,2857,1323088,34660,2701355,6.006132342526745,0.0,0.0128305979776815,0.0021593423869009,0.0106712555907806,0.0
12,6425,5243,1323088,61074,2701355,5.8142096788301965,0.0,0.0226086538052199,0.0039626993820516,0.0186459544231682,0.0
4,12529,23207,1323088,241299,2701355,5.494081813593314,0.0,0.0893251719970163,0.0175400275718621,0.0717851444251541,0.0
