layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj
23,7372,13406,1323088,66676,2701355,2.4723415730692477,0.0,0.0246824278926686,0.0101323570314295,0.0145500708612391,0.0
15,15574,12331,1323088,61396,2701355,2.472104261623933,0.0,0.0227278532440201,0.0093198638336981,0.0134079894103219,0.0
10,2640,35568,1323088,172545,2701355,2.4699076613041138,0.0,0.0638735005210348,0.0268825656343342,0.0369909348867005,0.0
7,11595,9837,1323088,48855,2701355,2.458887696215513,0.0,0.0180853682688872,0.0074348796149613,0.0106504886539259,0.0
9,5197,42537,1323088,203762,2701355,2.456018018155685,0.0,0.0754295529465768,0.0321497889785108,0.0432797639680659,0.0
24,8901,9832,1323088,48723,2701355,2.45337841753173,0.0,0.018036503902671,0.0074311005768323,0.0106054033258386,0.0
13,5190,11531,1323088,56792,2701355,2.4426061333510094,0.0,0.0210235233799334,0.0087152177330608,0.0123083056468725,0.0
24,2539,15610,1323088,76374,2701355,2.436973797115609,0.0,0.0282724780711902,0.0117981570386852,0.0164743210325049,0.0
10,12422,11722,1323088,57393,2701355,2.4284318477974924,0.0,0.0212460043200541,0.0088595769895879,0.0123864273304662,0.0
9,5099,30680,1323088,146832,2701355,2.421336671053325,0.0,0.0543549440928719,0.0231881779594403,0.0311667661334315,0.0
25,7621,20633,1323088,99756,2701355,2.420466179190138,0.0,0.0369281342141258,0.0155945787430616,0.0213335554710641,0.0
3,6567,26975,1323088,129111,2701355,2.411751155425436,0.0,0.0477949029283452,0.0203879107058638,0.0274069922224813,0.0
9,11592,12549,1323088,60960,2701355,2.4111092372784038,0.0,0.0225664527616696,0.0094846298961218,0.0130818228655478,0.0
21,14033,13338,1323088,63882,2701355,2.3784179621534465,0.0,0.0236481321410921,0.0100809621128753,0.0135671700282168,0.0
4,12355,13188,1323088,62680,2701355,2.3594038789659977,0.0,0.0232031702608505,0.0099675909690058,0.0132355792918447,0.0
10,8661,11383,1323088,54160,2701355,2.3576110587334567,0.0,0.0200491975323495,0.0086033582044429,0.0114458393279065,0.0
24,3316,22508,1323088,105821,2701355,2.355837354683161,0.0,0.0391733037679238,0.0170117180414303,0.0221615857264935,0.0
10,3692,15068,1323088,71242,2701355,2.351367266984761,0.0,0.0263726907422386,0.0113885093055034,0.0149841814367351,0.0
12,2602,12826,1323088,60591,2701355,2.3439343284563923,0.0,0.0224298546470197,0.0096939886084674,0.0127358660385522,0.0
25,3356,10553,1323088,49807,2701355,2.336285133558074,0.0,0.018437784000992,0.0079760378750317,0.0104617461259603,0.0
25,7191,10241,1323088,48175,2701355,2.32769866981568,0.0,0.0178336427459552,0.0077402258957831,0.010093416850172,0.0
25,13777,21079,1323088,97407,2701355,2.3105844328486147,0.0,0.0360585706062328,0.0159316689441669,0.0201269016620658,0.0
8,11596,20013,1323088,92403,2701355,2.3060950304730548,0.0,0.0342061669051272,0.0151259780150677,0.0190801888900594,0.0
11,5881,10646,1323088,49518,2701355,2.302024427644782,0.0,0.0183308006537459,0.0080463279842308,0.0102844726695151,0.0
9,3884,11461,1323088,53219,2701355,2.299928103222818,0.0,0.0197008538307627,0.008662311199255,0.0110385426315076,0.0
12,16244,10798,1323088,49692,2701355,2.2774803788368803,0.0,0.0183952127728491,0.0081612107433519,0.0102340020294972,0.0
10,13718,15912,1323088,72668,2701355,2.270981652708146,0.0,0.0269005739712107,0.0120264109416758,0.0148741630295349,0.0
14,971,12032,1323088,55121,2701355,2.2697198817423376,0.0,0.0204049449257872,0.0090938773535849,0.0113110675722022,0.0
3,1000,25993,1323088,116751,2701355,2.2541456560903184,0.0,0.0432194213644633,0.0196457076173315,0.0235737137471318,0.0
10,3359,19081,1323088,85697,2701355,2.2390482430806804,0.0,0.0317237090275065,0.0144215653078253,0.0173021437196812,0.0
24,16182,271702,1323088,989551,2701355,2.236935694947289,0.0,0.3663165337395492,0.2053544435441935,0.1609620901953556,0.0
25,3379,14739,1323088,66333,2701355,2.2346061090576868,0.0,0.024555454577425,0.0111398485966164,0.0134156059808086,0.0
22,460,21171,1323088,94597,2701355,2.2316114156482763,0.0,0.0350183519011755,0.0160012032457402,0.0190171486554352,0.0
25,538,29110,1323088,128753,2701355,2.224689685695276,0.0,0.0476623768442133,0.0220015599869396,0.0256608168572737,0.0
25,3361,12842,1323088,57439,2701355,2.2165595026224447,0.0,0.0212630328113113,0.0097060815304802,0.0115569512808311,0.0
21,8021,11507,1323088,51472,2701355,2.2139986318557217,0.0,0.0190541413475829,0.0086970783500417,0.0103570629975412,0.0
25,5024,11847,1323088,52906,2701355,2.210993394703752,0.0,0.0195849860532954,0.0089540529428125,0.0106309331104829,0.0
12,15158,20786,1323088,91516,2701355,2.1969698528421757,0.0,0.0338778131715379,0.0157102173098085,0.0181675958617294,0.0
25,3765,16461,1323088,72569,2701355,2.191246919687151,0.0,0.0268639256965485,0.0124413493282381,0.0144225763683104,0.0
10,1733,17161,1323088,75376,2701355,2.1843294838423004,0.0,0.0279030338478282,0.0129704146662958,0.0149326191815324,0.0
24,10462,52005,1323088,218689,2701355,2.1529673892463714,0.0,0.0809552983595269,0.0393057755795532,0.0416495227799736,0.0
24,8269,39895,1323088,168090,2701355,2.1341982856225354,0.0,0.0622243281612376,0.0301529452311562,0.0320713829300813,0.0
15,8901,14681,1323088,63081,2701355,2.1309138501578047,0.0,0.0233516142824619,0.0110960117543201,0.0122556025281417,0.0
12,12754,21780,1323088,92685,2701355,2.122816891767388,0.0,0.0343105589602255,0.0164614900898504,0.0178490688703751,0.0
21,5499,13511,1323088,57864,2701355,2.121652048271631,0.0,0.0214203612631438,0.0102117168321381,0.0112086444310057,0.0
9,11829,13294,1323088,56936,2701355,2.121309349808429,0.0,0.0210768299612601,0.0100477065773402,0.0110291233839198,0.0
